Part Number,Quantity,Mfr Part Number,Manufacturer Name,Description
STM32G070KBT6,1,STM32G070KBT6,STMicroelectronics,"ARM Microcontrollers - MCU ARM Microcontrollers - MCU Arm Cortex -M0+ 32-bit MCU, 128 KB Flash, 36 KB RAM"
649-10103594-0001LF,1,10103594-0001LF,FCI / Amphenol,USB Connectors USB Connectors 5P Quick Connect Micro USB TypeB Rcpt
511-LD1117S33,1,LD1117S33TR,STMicroelectronics,LDO Voltage Regulators LDO Voltage Regulators 3.3V 0.8A Positive
710-150060BS55040,1,150060BS55040,Wurth Elektronik,Standard LEDs - SMD Standard LEDs - SMD WL-SMCD SMD Mono SMD 0603 Blue 465nm
710-150060VS55040,1,150060VS55040,Wurth Elektronik,Standard LEDs - SMD Standard LEDs - SMD WL-SMCD SMD MonoChip 0603 BrtGrn 575nm
710-150060RS55040,1,150060RS55040,Wurth Elektronik,Standard LEDs - SMD Standard LEDs - SMD WL-SMCD SMD MonoChip 0603 Red 632nm
71-CRCW060310K0JNEAC,2,CRCW060310K0JNEAC,Vishay,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10Watt 10Kohms 5% Commercial Use
71-CRCW0603-330-E3,3,CRCW0603330RFKEA,Vishay,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10watt 330ohms 1%
603-CC0603MPX55BB106,1,CC0603MPX5R5BB106,Yageo,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 20% 6.3V
603-CC603KRX7R8BB104,4,CC0603KRX7R8BB104,Yageo,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25V X7R 10%